,Địa chỉ,Mức giá,Giá/m²,Số phòng ngủ,Huyện,Diện tích (m2),Số toilet,Nội thất,Latitude,Longitude,Đường
109,"Dự án Masteri Centre Point, Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",4250.0,57.43,2,Quận 9,74.0,2,Đầy đủ,10.8352479934692,106.830223083496,Nguyễn Xiển
110,"Dự án Eaton Park, Đường Mai Chí Thọ, Phường An Phú, Quận 2, Hồ Chí Minh",7400.0,98.67,2,Quận 2,75.0,2,Đầy đủ,10.7947015762329,106.753456115723,Mai Chí Thọ
111,"Dự án Orchard Garden, Đường Hồng Hà, Phường 9, Phú Nhuận, Hồ Chí Minh",2400.0,75.0,2,Phú Nhuận,32.0,2,Đầy đủ,10.8093481063843,106.673866271973,Hồng Hà
112,"Dự án HaDo Centrosa Garden, Đường 3/2, Phường 12, Quận 10, Hồ Chí Minh",6800.0,79.07,2,Quận 10,86.0,2,Đầy đủ,10.7773962020874,106.676734924316,3/2
113,"Estella Heights, Song Hành, An Phú, Quận 2, Hồ Chí Minh",8500.0,95.51,2,Quận 2,89.0,2,Đầy đủ,10.800774363306,106.741869290546,Phan Văn Đáng
114,"Dự án The Global City, Phường An Phú, Quận 2, Hồ Chí Minh",22233.509765625,191.4052276611328,1,Quận 2,50.0,1,Cơ bản,10.8019132614136,106.764747619629,Đại Lộ Vòng Cung
115,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh",7500.0,85.23,2,Bình Thạnh,88.0,2,Đầy đủ.,10.7949285507202,106.720741271973,Điện Biên Phủ
116,"Dự án King Crown Infinity, Đường Võ Văn Ngân, Phường Bình Thọ, Thủ Đức, Hồ Chí Minh",10140.0,124.42,2,Thủ Đức,81.5,2,Cơ bản,10.8504076004028,106.766105651855,Võ Văn Ngân
117,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh",10000.0,86.96,3,Bình Thạnh,115.0,2,Đầy đủ,10.7949285507202,106.720741271973,Điện Biên Phủ
118,"Eaton Park, Đường Mai Chí Thọ, Phường An Phú, Quận 2, Hồ Chí Minh",7400.0,98.67,2,Quận 2,75.0,2,Đầy đủ,10.794702,106.753456,Mai Chí Thọ
119,"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",7105.19384765625,82.94935607910156,2,Quận 2,70.0,2,Full đầy đủ.,10.8026895523071,106.741813659668,Xa Lộ Hà Nội
